Onion,0.17
Celery,0.18
Potatoes,0.18
Carrots,0.2
Zucchini,0.21
Button squash,0.21
Beetroot,0.24
Pumpkins,0.25
Rockmelon,0.25
Cantelope,0.25
Plake beans,0.26
Limes,0.26
Lemons,0.26
Mushrooms,0.27
Guavas,0.28
Apples,0.29
Rutabage,0.29
Swedes,0.29
Pears,0.31
Quinces,0.31
Green beans,0.31
Watermelons,0.32
Dates,0.32
Orange,0.33
Kiwi,0.36
Broccoli,0.36
Cauliflowers,0.36
Grapes,0.37
Oats,0.38
Rye,0.38
Peas,0.38
Cherries,0.39
Gigante beans,0.39
Butter beans,0.39
Almond milk,0.42
Coconut milk,0.42
Nectarines,0.43
Peaches,0.43
Figs,0.43
Barley,0.43
Apricot,0.43
Chestnuts,0.43
Beans,0.43
Mandarin,0.45
Tomatoes,0.45
Corn,0.47
Maize,0.47
Fennel,0.48
Artichokes,0.48
Cowpeas,0.49
Soybean,0.49
Pineapples,0.5
Melons,0.51
Pomelo,0.51
Grapefruit,0.51
Tangerines,0.51
Mandarins,0.51
Wheat,0.52
Spinach,0.54
Garlic,0.57
Strawberries,0.58
Olives,0.63
Peppers,0.66
Capsicums,0.66
Beans: pinto USA dried,0.73
Soy milk,0.75
Runner beans,0.75
French beans,0.75
Chick peas,0.77
Asparagus,0.83
Peanuts,0.83
Raspberries,0.84
Gooseberries,0.84
Currants,0.84
Sesame seed,0.88
Ginger,0.88
Blueberries,0.92
Cranberries,0.92
Hazelnuts,0.97
Ground nuts,0.99
Lentils,1.03
Pilchard,1.1
Quinoa,1.15
Herring,1.16
Milk,1.29
Avocados,1.3
Yoghurt,1.31
Aubergines,1.35
Eggplants,1.35
Sunflower seed,1.41
Cashew nut,1.44
Walnuts,1.51
Pistachios,1.53
Almonds,1.54
Pollock,1.6
Carp,1.76
Mackerel,1.8
Rape seed,2.09
Mustard seed,2.09
Cucumbers,2.1
Gherkins,2.1
Tuna,2.15
Rice,2.55
Whiting,2.66
Duck,3.09
Sea bass,3.27
Haddock,3.41
Eggs,3.46
Salmon,3.47
Fish,3.49
Cod,3.51
Buffalo milk,3.57
Chicken,3.65
Lettuce,3.7
Eel,3.88
Kangaroo,4.1
Trout,4.2
Rabbit,4.7
Cream,5.64
Pork,5.77
Ling common,6.45
Pomfret,6.63
Rock fish,6.94
Squid,7.13
Cuttlefish,7.13
Octopus,7.13
Shrimp,7.8
Prawns,7.8
Turkey,7.17
Diamond fish,8.33
Rhombus,8.41
Cheese,8.55
Butter,9.25
Mussels,9.51
Hake,9.77
Porbeagle,11.44
Shark mako,11.5
Anglerfish,12.29
Swordfish,12.84
Megrim,14.15
Turbot,14.51
Sole,20.86
Lamb,25.58
Beef,26.61
Lobster,27.8
Buffalo,60.43
